nome,nota
Fulano1,1
Fulano2,2
Fulano3,3
Fulano4,4
Fulano5,5
Fulano6,6
Fulano7,7
Fulano8,8
Fulano9,9
Fulano10,10
Fulano11,11
Fulano12,12
Fulano13,13
Fulano14,14
Fulano15,15
Fulano16,16
Fulano17,17
Fulano18,18
Fulano19,19
Fulano20,20
Fulano21,21
Fulano22,22
Fulano23,23
Fulano24,24
Fulano25,25
Fulano26,26
Fulano27,27
Fulano28,28
Fulano29,29
Fulano30,30
Fulano31,31
Fulano32,32
Fulano33,33
Fulano34,34
Fulano35,35
Fulano36,36
Fulano37,37
Fulano38,38
Fulano39,39
Fulano40,40
Fulano41,41
Fulano42,42
Fulano43,43
Fulano44,44
Fulano45,45
Fulano46,46
Fulano47,47
Fulano48,48
Fulano49,49
Fulano50,50
Fulano51,51
Fulano52,52
Fulano53,53
Fulano54,54
